,date,month,year,bu,Conformance CALC,System Outage (hrs),Unplanned out % CALC,Shrinkage % CALC,aht,Attrition %
214,2019-01-31,January,2019,RIS,0.951728798,0.0,11%,35%,624.0,0.015873016
215,2019-01-31,January,2019,SCS,#DIV/0!,0.0,6%,40%,,
216,2019-01-31,January,2019,WISE,0.941750131,0.0,9%,31%,512.6160617551462,0.007194245
217,2019-02-01,February,2019,Client Transactions,0.686049652,0.0,2%,30%,240.825488997555,0.041666667
218,2019-02-01,February,2019,Participant Transactions,0.839451466,0.0,11%,36%,451.1879759519038,0.040816327
219,2019-02-01,February,2019,RAM,0.932246561,0.0,5%,34%,908.7909222597779,0.018867925
220,2019-02-01,February,2019,RCS PHONES,#DIV/0!,0.0,11%,49%,,0.076923077
221,2019-02-01,February,2019,RIS,0.967778303,0.0,16%,33%,588.0,0.018518519
222,2019-02-01,February,2019,SCS,#DIV/0!,0.0,11%,39%,,
223,2019-02-01,February,2019,WISE,0.932832199,0.0,13%,31%,520.3978266631328,0.00729927
238,2019-02-04,February,2019,Client Transactions,0.795579491,0.0,6%,36%,251.27713414634147,0.041666667
239,2019-02-04,February,2019,Participant Transactions,0.916870875,0.0,10%,34%,465.65935811884333,0.040816327
240,2019-02-04,February,2019,RAM,0.959405423,0.0,9%,37%,801.4396402628848,0.018867925
241,2019-02-04,February,2019,RCS PHONES,#DIV/0!,0.0,7%,44%,,0.076923077
242,2019-02-04,February,2019,RIS,0.937674489,5.5,9%,25%,578.0,0.018518519
243,2019-02-04,February,2019,SCS,#DIV/0!,0.0,15%,34%,,
244,2019-02-04,February,2019,WISE,0.920489735,0.0,14%,30%,530.3093341828608,0.00729927
245,2019-02-05,February,2019,Client Transactions,0.780839368,0.0,5%,34%,312.5150793650794,0.041666667
246,2019-02-05,February,2019,Participant Transactions,0.797882916,0.0,3%,28%,484.1402550091075,0.040816327
247,2019-02-05,February,2019,RAM,0.967176766,0.0,7%,35%,888.3964181994191,0.018867925
248,2019-02-05,February,2019,RCS PHONES,#DIV/0!,0.0,8%,37%,,0.076923077
249,2019-02-05,February,2019,RIS,0.954073593,0.0,6%,22%,571.0,0.018518519
250,2019-02-05,February,2019,SCS,#DIV/0!,0.0,6%,31%,,
251,2019-02-05,February,2019,WISE,0.934773129,0.0,8%,26%,520.3500058706118,0.00729927
252,2019-02-06,February,2019,Client Transactions,0.778886023,0.0,2%,33%,333.1884536082474,0.041666667
253,2019-02-06,February,2019,Participant Transactions,0.863617596,0.0,4%,31%,431.4797319932998,0.040816327
254,2019-02-06,February,2019,RAM,0.913021848,0.0,3%,35%,860.6824170831441,0.018867925
255,2019-02-06,February,2019,RCS PHONES,#DIV/0!,0.0,0%,31%,,0.076923077
256,2019-02-06,February,2019,RIS,0.954947661,0.0,6%,23%,578.0,0.018518519
257,2019-02-06,February,2019,SCS,#DIV/0!,0.0,1%,29%,,
258,2019-02-06,February,2019,WISE,#DIV/0!,0.0,9%,26%,530.2349848863188,0.00729927
259,2019-02-07,February,2019,Client Transactions,0.837301274,0.0,6%,34%,347.6457731958763,0.041666667
260,2019-02-07,February,2019,Participant Transactions,0.890063617,0.0,5%,33%,495.20262954369684,0.040816327
261,2019-02-07,February,2019,RAM,0.94608714,0.0,6%,28%,890.8746722600944,0.018867925
262,2019-02-07,February,2019,RCS PHONES,#DIV/0!,0.0,17%,42%,,0.076923077
