date,month,year,bu,Conformance %,System Outage (hrs),Unplanned out %,Shrinkage %,aht,Attrition %
2019-02-18,February,2019,Participant Transactions,0.9295249040000001,0.0,0.0,6.0,306.8994229183842,0.040816327
2019-02-18,February,2019,RAM,0.9744396390000001,0.0,0.08,14.0,768.3420074349442,0.018867925
2019-02-18,February,2019,RCS PHONES,,0.0,,,,0.076923077
2019-02-18,February,2019,RIS,,0.0,,,,0.018518519
2019-02-18,February,2019,SCS,,0.0,,,,
2019-02-18,February,2019,WISE,0.9066971659999999,0.0,0.09,23.0,543.0553485896753,0.00729927
2019-02-19,February,2019,Client Transactions,0.877953263,0.0,0.04,23.0,376.41201436500165,0.041666667
2019-02-19,February,2019,Participant Transactions,0.883260815,0.0,0.08,30.0,470.9778861788618,0.040816327
2019-02-19,February,2019,RAM,0.9089345590000001,0.0,0.08,23.0,842.8127133105802,0.018867925
2019-02-19,February,2019,RCS PHONES,,0.0,0.09,55.0,,0.076923077
2019-02-19,February,2019,RIS,0.935266697,0.0,0.12,27.0,648.0,0.018518519
2019-02-19,February,2019,SCS,,0.0,0.1,30.0,,
2019-02-19,February,2019,WISE,0.904673669,0.25,0.09,28.0,559.1995263469508,0.00729927
2019-02-20,February,2019,Client Transactions,0.778818303,0.0,0.02,18.0,393.6341734618236,0.041666667
2019-02-20,February,2019,Participant Transactions,0.915626708,0.0,0.08,36.0,551.2194793536804,0.040816327
2019-02-20,February,2019,RAM,0.922599134,0.0,0.14,32.0,923.3532338308457,0.018867925
2019-02-20,February,2019,RCS PHONES,,0.0,0.07,52.0,,0.076923077
2019-02-20,February,2019,RIS,0.933403751,0.0,0.26,38.0,669.0,0.018518519
2019-02-20,February,2019,SCS,,0.0,0.19,41.0,,
2019-02-20,February,2019,WISE,0.917492298,0.916666667,0.16,32.0,570.7685476157945,0.00729927
2019-02-21,February,2019,Client Transactions,0.744700908,0.0,0.09,31.0,313.09730538922156,0.041666667
2019-02-21,February,2019,Participant Transactions,0.760177469,0.0,0.05,31.0,465.1312594840668,0.040816327
2019-02-21,February,2019,RAM,0.966433065,0.0,0.07,27.0,825.1963095848283,0.018867925
2019-02-21,February,2019,RCS PHONES,,0.0,0.05,57.0,,0.076923077
2019-02-21,February,2019,RIS,0.953827561,0.0,0.07,30.0,615.0,0.018518519
2019-02-21,February,2019,SCS,,0.0,0.09,34.0,,
2019-02-21,February,2019,WISE,0.916478435,0.833333333,0.06,26.0,530.8237553552962,0.00729927
2019-02-22,February,2019,Client Transactions,0.8341009979999999,0.0,0.05,24.0,324.12517146776406,0.041666667
2019-02-22,February,2019,Participant Transactions,0.8743789470000001,0.0,0.13,34.0,456.29462989840346,0.040816327
2019-02-22,February,2019,RAM,0.938999694,0.0,0.08,36.0,960.1106911447084,0.018867925
2019-02-22,February,2019,RCS PHONES,,0.0,0.09,63.0,,0.076923077
2019-02-22,February,2019,RIS,0.971907161,0.0,0.13,37.0,605.0,0.018518519
2019-02-22,February,2019,SCS,,0.0,0.1,38.0,,
2019-02-22,February,2019,WISE,0.901469602,0.0,0.13,35.0,545.6153735838233,0.00729927
2019-02-25,February,2019,Client Transactions,0.789827724,0.0,0.06,26.0,291.3519675202998,0.041666667
2019-02-25,February,2019,Participant Transactions,0.833618545,0.0,0.09,22.0,477.36572280178837,0.040816327
2019-02-25,February,2019,RAM,0.968596221,0.0,0.11,32.0,922.9880087209302,0.018867925
2019-02-25,February,2019,RCS PHONES,,0.0,0.08,54.0,,0.076923077
2019-02-25,February,2019,RIS,0.955562335,0.0,0.12,25.0,687.0,0.018518519
2019-02-25,February,2019,SCS,,0.0,0.13,32.0,,
2019-02-25,February,2019,WISE,0.9062789520000001,1.75,0.1,25.0,555.9276499122717,0.00729927
2019-02-26,February,2019,Client Transactions,0.9005898390000001,0.0,0.07,40.0,302.9347826086956,0.041666667
2019-02-26,February,2019,Participant Transactions,0.892509113,0.0,0.07,37.0,469.42931392931393,0.040816327
2019-02-26,February,2019,RAM,0.9422296520000001,0.0,0.04,29.0,970.7373994070309,0.018867925
2019-02-26,February,2019,RCS PHONES,,0.0,0.12,53.0,,0.076923077
2019-02-26,February,2019,RIS,0.950255077,0.566666667,0.05,28.0,593.0,0.018518519
2019-02-26,February,2019,SCS,,0.0,0.05,31.0,,
2019-02-26,February,2019,WISE,0.913434238,0.0,0.09,28.0,564.3915196907466,0.00729927
2019-02-27,February,2019,Client Transactions,0.818973817,0.0,0.07,37.0,320.8288603656165,0.041666667
2019-02-27,February,2019,Participant Transactions,0.7981916370000001,0.0,0.05,34.0,471.8633836378078,0.040816327
2019-02-27,February,2019,RAM,0.9781962,0.0,0.06,36.0,973.1304796286746,0.018867925
2019-02-27,February,2019,RCS PHONES,,0.0,0.08,50.0,,0.076923077
2019-02-27,February,2019,RIS,0.9447262809999999,0.0,0.03,30.0,580.0,0.018518519
2019-02-27,February,2019,SCS,,0.0,0.05,30.0,,
2019-02-27,February,2019,WISE,0.9021323440000001,1.016666667,0.06,30.0,543.5159647674099,0.00729927
2019-02-28,February,2019,Client Transactions,0.77290813,0.0,0.06,31.0,318.0800299177263,0.041666667
2019-02-28,February,2019,Participant Transactions,0.8666984940000001,0.0,0.03,28.0,506.35384012539186,0.040816327
2019-02-28,February,2019,RAM,0.9367983209999999,0.0,0.04,30.0,1046.3726611226612,0.018867925
2019-02-28,February,2019,RCS PHONES,,0.0,0.13,48.0,,0.076923077
2019-02-28,February,2019,RIS,0.970988313,0.0,0.06,33.0,610.0,0.018518519
2019-02-28,February,2019,SCS,,0.0,0.06,30.0,,
2019-02-28,February,2019,WISE,0.8919777720000001,0.0,0.07,29.0,518.0323450134771,0.00729927
2019-03-01,March,2019,Client Transactions,0.8734467909999999,0.0,0.05,30.0,289.258320610687,0.043478261
2019-03-01,March,2019,Participant Transactions,0.845280252,0.0,0.05,30.0,477.08738938053096,0.037735849
