date,bu,VOLUME - HANDLED,TOTAL TIME - AHT (sec),AHT CALC,Sum of PRODUCTIVE TIME - ACTUAL (hrs),Sum of PRODUCTIVE TIME - SCHEDULED (hrs),Conformance CALC,Attrition,EOM Headcount,Attrition % CALC,System Outage (hrs),Unplanned out,Shrinkage,Regular Scheduled Time (no OT),Unplanned out % CALC,Shrinkage % CALC,month,year,aht
2019-01-23,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,55.5,286.6666667,648.5,0.09,44.0,January,2019,
2019-01-23,WISE,8283,4287044,517.5714113,1579.812222,1685.3666660000001,0.9373700420000001,0,0,,0.0,144.75,505.75,2219.5,0.07,23.0,January,2019,517.5714113243994
2019-01-24,Client Transactions,2610,949223,363.6869732,22.49055555,22.25,1.010811486,0,0,,0.0,18.0,158.0,392.0,0.05,40.0,January,2019,363.6869731800766
2019-01-24,Participant Transactions,2563,1123136,438.2114709,286.0880556,340.41666680000003,0.8404055490000001,0,0,,0.0,13.5,184.58333330000002,562.5,0.02,33.0,January,2019,438.21147093250096
2019-01-24,RAM,1885,1782065,945.3925729,265.11833340000004,276.0833333,0.960283731,0,0,,0.0,78.16666667,322.1666667,711.5,0.11,45.0,January,2019,945.3925729442971
2019-01-24,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,17.5,75.0,174.66666669999998,0.1,43.0,January,2019,
2019-01-24,RIS,2257,1306803,579,498.3894444,521.2499999,0.9561428190000001,0,0,,0.0,60.25,183.25,815.0,0.07,22.0,January,2019,579.0
2019-01-24,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.41666666700000005,56.91666667,269.4166667,640.6666667000001,0.09,42.0,January,2019,
2019-01-24,WISE,7406,3911333,528.1302998,1338.3816669999999,1425.383333,0.9389626179999999,0,0,,0.45,147.0,525.7833333000001,2226.75,0.07,24.0,January,2019,528.1302997569538
2019-01-25,Client Transactions,3081,800568,259.8403116,183.9358333,251.25,0.7320829190000001,0,0,,0.0,21.5,140.75,392.0,0.05,36.0,January,2019,259.840311587147
2019-01-25,Participant Transactions,2305,1187617,515.235141,284.1977778,318.08333339999996,0.8934695659999999,0,0,,0.0,18.16666667,175.5,535.5,0.03,33.0,January,2019,515.2351409978309
2019-01-25,RAM,2019,1757285,870.3739475,347.5063889,354.5,0.980271901,0,0,,0.0,50.5,299.0,696.5,0.07,43.0,January,2019,870.3739474987617
2019-01-25,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,8.0,64.25,167.25,0.05,38.0,January,2019,
2019-01-25,RIS,2371,1379922,582,474.88111110000006,497.41666669999995,0.9546948120000001,0,0,,0.0,93.75,226.75,810.5,0.12,28.0,January,2019,582.0
2019-01-25,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,60.5,295.0,633.5,0.1,47.0,January,2019,
2019-01-25,WISE,7433,3963934,533.288578,1321.23,1395.0,0.94711828,0,0,,0.0,275.5833333,669.5833332999999,2198.25,0.13,30.0,January,2019,533.2885779631374
2019-01-28,Client Transactions,3615,849290,234.9349931,199.2347222,262.0833333,0.760196078,0,0,,0.0,21.75,129.9166667,392.0,0.06,33.0,January,2019,234.9349930843707
2019-01-28,Participant Transactions,3755,1713043,456.2031957,415.24,446.2500001,0.930509804,0,0,,0.0,20.0,112.5,566.25,0.04,20.0,January,2019,456.20319573901463
2019-01-28,RAM,2971,2507942,844.1406934,476.7508334,499.08333339999996,0.955252964,0,0,,0.0,31.0,192.16666669999998,714.0,0.04,27.0,January,2019,844.1406933692359
2019-01-28,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,17.83333333,74.16666667,171.5,0.1,43.0,January,2019,
2019-01-28,RIS,2819,1781608,632,476.50861110000005,530.1166666,0.8988749859999999,0,0,,0.0,67.0,185.25,677.5,0.1,27.0,January,2019,632.0
2019-01-28,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,76.25,234.5,646.0,0.12,36.0,January,2019,
2019-01-28,WISE,9331,4967687,532.3852749,1576.7925,1669.75,0.944328492,0,0,,0.0,302.5,588.9166667000001,2262.166667,0.13,26.0,January,2019,532.3852748901511
2019-01-29,Client Transactions,2992,792799,264.9729278,185.6855556,249.58333330000002,0.743982193,0,0,,0.0,8.0,130.0,384.0,0.02,34.0,January,2019,264.97292780748666
2019-01-29,Participant Transactions,2429,1264447,520.562783,260.2805556,291.33333339999996,0.893411518,0,0,,0.0,19.75,219.5,564.5,0.03,39.0,January,2019,520.5627830382873
2019-01-29,RAM,1838,1695302,922.3623504,317.9105556,345.25,0.920812616,0,0,,0.0,74.25,289.0,695.5,0.11,42.0,January,2019,922.3623503808487
2019-01-29,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,9.25,65.83333333,171.75,0.05,38.0,January,2019,
2019-01-29,RIS,2510,1573770,627,409.11694439999997,448.75,0.9116812129999999,0,0,,0.0,102.5,245.5,675.5,0.15,36.0,January,2019,627.0
2019-01-29,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,77.5,310.0833333,653.0,0.12,47.0,January,2019,
2019-01-29,WISE,7575,3868892,510.7448185,1402.974444,1470.583333,0.954025802,0,0,,1.0,198.5,565.8333332999999,2239.666667,0.09,25.0,January,2019,510.7448184818482
2019-01-30,Client Transactions,2569,899804,350.2545738,210.62,261.5833333,0.805173622,0,0,,0.0,25.0,122.41666670000001,384.0,0.07,32.0,January,2019,350.25457376411055
2019-01-30,Participant Transactions,2290,1170229,511.0170306,258.1211111,311.4166667,0.82886094,0,0,,0.0,19.5,207.75,560.5,0.03,37.0,January,2019,511.0170305676856
2019-01-30,RAM,2283,1957281,857.3285151,375.3963889,387.25,0.9693902879999999,0,0,,0.0,55.0,281.25,691.5,0.08,41.0,January,2019,857.3285151116951
2019-01-30,RCS PHONES,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,26.41666667,81.91666667,158.25,0.17,52.0,January,2019,
2019-01-30,RIS,2379,1467843,617,445.53694440000004,462.08333330000005,0.9641917640000001,0,0,,0.0,51.25,225.91666669999998,656.0,0.08,34.0,January,2019,617.0
2019-01-30,SCS,0,0,#DIV/0!,0.0,0.0,,0,0,,0.0,54.58333333,277.4166667,635.0,0.09,44.0,January,2019,
2019-01-30,WISE,7452,3842719,515.6627751,1152.532778,1215.583333,0.9481314409999999,0,0,,0.26666666699999997,178.0,578.4333333,2178.5166670000003,0.08,27.0,January,2019,515.6627750939346
2019-01-31,Client Transactions,3225,893618,277.0908527,207.7191667,265.5,0.782369743,2,47,0.042553191,0.0,8.0,112.0,384.0,0.02,29.0,January,2019,277.0908527131783
2019-01-31,Participant Transactions,2473,1215179,491.3784877,287.9563889,324.4166667,0.8876128090000001,2,59,0.033898305,0.0,28.5,198.33333330000002,563.5,0.05,35.0,January,2019,491.37848766680145
