ACTIVITY DATE,DIVISION,BUSINESS UNIT,BUSINESS LINE,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST,
2/15/2016,WISE,WISE,WISE Contractual,2370085,,3713,4392,
2/15/2016,College Savings,College Savings,CS Alaska,12029,,20,33,
2/15/2016,College Savings,College Savings,CS John Hancock,60060,,143,184,
2/15/2016,College Savings,College Savings,CS Maryland,121986,,244,152,
2/15/2016,College Savings,College Savings,CS National,38749,,79,68,
2/15/2016,II Services and Operations,RIS,RIS,1215109,,2104,2234,
2/15/2016,II Services and Operations,RCS PHONES,RCS PHONES,203086,,376,442,
2/15/2016,II Services and Operations,SCS,BRO,0,,0,0,
2/15/2016,II Services and Operations,SCS,PSG,377611,,541,552,
2/16/2016,WISE,WISE,WISE Contractual,3893100,,6004,7411,
2/16/2016,College Savings,College Savings,CS Alaska,46014,,50,77,
2/16/2016,College Savings,College Savings,CS John Hancock,187227,,431,423,
2/16/2016,College Savings,College Savings,CS Maryland,204327,,436,350,
2/16/2016,College Savings,College Savings,CS National,77727,,151,157,
2/16/2016,II Services and Operations,RIS,RIS,2635606,,4088,4023,
2/16/2016,II Services and Operations,RCS PHONES,RCS PHONES,412783,,735,804,
2/16/2016,II Services and Operations,SCS,BRO,410428,,643,621,
2/16/2016,II Services and Operations,SCS,PSG,739858,,1070,1197,
2/17/2016,WISE,WISE,WISE Contractual,3615085,,5589,6851,
2/17/2016,College Savings,College Savings,CS Alaska,30681,,56,67,
2/17/2016,College Savings,College Savings,CS John Hancock,174501,,383,367,
2/17/2016,College Savings,College Savings,CS Maryland,141201,,262,304,
2/17/2016,College Savings,College Savings,CS National,74149,,132,136,
2/17/2016,II Services and Operations,RIS,RIS,2124022,,3360,3711,
2/17/2016,II Services and Operations,RCS PHONES,RCS PHONES,394302,,669,750,
2/17/2016,II Services and Operations,SCS,BRO,379553,,544,522,
2/17/2016,II Services and Operations,SCS,PSG,723275,,939,1121,
2/18/2016,WISE,WISE,WISE Contractual,3488854,,5152,6338,
2/18/2016,College Savings,College Savings,CS Alaska,24613,,44,65,
2/18/2016,College Savings,College Savings,CS John Hancock,155506,,379,359,
2/18/2016,College Savings,College Savings,CS Maryland,128412,,257,297,
2/18/2016,College Savings,College Savings,CS National,62510,,125,133,
2/18/2016,II Services and Operations,RIS,RIS,1906004,,3017,3341,
2/18/2016,II Services and Operations,RCS PHONES,RCS PHONES,367188,,630,663,
2/18/2016,II Services and Operations,SCS,BRO,281443,,423,468,
2/18/2016,II Services and Operations,SCS,PSG,600312,,854,938,
2/19/2016,WISE,WISE,WISE Contractual,3525298,,5289,6501,
2/19/2016,College Savings,College Savings,CS Alaska,29012,,38,62,
2/19/2016,College Savings,College Savings,CS John Hancock,144688,,350,341,
2/19/2016,College Savings,College Savings,CS Maryland,104096,,245,282,
2/19/2016,College Savings,College Savings,CS National,48279,,104,126,
2/19/2016,II Services and Operations,RIS,RIS,1874547,,2971,3562,
2/19/2016,II Services and Operations,RCS PHONES,RCS PHONES,338657,,579,634,
2/19/2016,II Services and Operations,SCS,BRO,295363,,441,508,
2/19/2016,II Services and Operations,SCS,PSG,618953,,817,971,
2/20/2016,WISE,WISE,WISE Contractual,0,,0,0,
2/20/2016,College Savings,College Savings,CS Alaska,0,,0,0,
2/20/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
2/20/2016,College Savings,College Savings,CS Maryland,0,,0,0,
2/20/2016,College Savings,College Savings,CS National,0,,0,0,
2/20/2016,II Services and Operations,RIS,RIS,399795,,800,925,
2/20/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
2/20/2016,II Services and Operations,SCS,BRO,0,,0,0,
2/20/2016,II Services and Operations,SCS,PSG,0,,0,0,
2/21/2016,WISE,WISE,WISE Contractual,0,,0,0,
2/21/2016,College Savings,College Savings,CS Alaska,0,,0,0,
2/21/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
2/21/2016,College Savings,College Savings,CS Maryland,0,,0,0,
2/21/2016,College Savings,College Savings,CS National,0,,0,0,
2/21/2016,II Services and Operations,RIS,RIS,0,,0,0,
2/21/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
2/21/2016,II Services and Operations,SCS,BRO,0,,0,0,
2/21/2016,II Services and Operations,SCS,PSG,0,,0,0,
2/22/2016,WISE,WISE,WISE Contractual,4433582,,7128,8587,
2/22/2016,College Savings,College Savings,CS Alaska,28790,,53,74,
2/22/2016,College Savings,College Savings,CS John Hancock,167710,,421,466,
2/22/2016,College Savings,College Savings,CS Maryland,189099,,403,402,
2/22/2016,College Savings,College Savings,CS National,74459,,152,177,
2/22/2016,II Services and Operations,RIS,RIS,2517231,,4101,4127,
2/22/2016,II Services and Operations,RCS PHONES,RCS PHONES,405430,,756,887,
2/22/2016,II Services and Operations,SCS,BRO,423495,,582,572,
2/22/2016,II Services and Operations,SCS,PSG,842577,,1177,1124,
2/23/2016,WISE,WISE,WISE Contractual,3793963,,5918,6922,
2/23/2016,College Savings,College Savings,CS Alaska,28083,,48,64,
2/23/2016,College Savings,College Savings,CS John Hancock,171551,,377,402,
2/23/2016,College Savings,College Savings,CS Maryland,130776,,292,347,
2/23/2016,College Savings,College Savings,CS National,77426,,146,153,
2/23/2016,II Services and Operations,RIS,RIS,2072529,,3390,3419,
2/23/2016,II Services and Operations,RCS PHONES,RCS PHONES,388767,,647,807,
2/23/2016,II Services and Operations,SCS,BRO,343414,,450,553,
2/23/2016,II Services and Operations,SCS,PSG,634882,,884,1068,
2/24/2016,WISE,WISE,WISE Contractual,3508498,,5561,6574,
2/24/2016,College Savings,College Savings,CS Alaska,18040,,38,53,
2/24/2016,College Savings,College Savings,CS John Hancock,133659,,314,335,
2/24/2016,College Savings,College Savings,CS Maryland,101279,,219,289,
2/24/2016,College Savings,College Savings,CS National,67364,,139,127,
2/24/2016,II Services and Operations,RIS,RIS,1818546,,2848,3327,
2/24/2016,II Services and Operations,RCS PHONES,RCS PHONES,375898,,647,640,
2/24/2016,II Services and Operations,SCS,BRO,321320,,431,512,
2/24/2016,II Services and Operations,SCS,PSG,619586,,821,930,
2/25/2016,WISE,WISE,WISE Contractual,3496667,,5534,6167,
2/25/2016,College Savings,College Savings,CS Alaska,23242,,36,54,
2/25/2016,College Savings,College Savings,CS John Hancock,157938,,358,339,
2/25/2016,College Savings,College Savings,CS Maryland,106319,,216,292,
2/25/2016,College Savings,College Savings,CS National,47278,,87,128,
2/25/2016,II Services and Operations,RIS,RIS,1791146,,2790,3201,
2/25/2016,II Services and Operations,RCS PHONES,RCS PHONES,314402,,547,683,
2/25/2016,II Services and Operations,SCS,BRO,264624,,382,441,
2/25/2016,II Services and Operations,SCS,PSG,568406,,749,905,
2/26/2016,WISE,WISE,WISE Contractual,3429502,,5312,6082,
2/26/2016,College Savings,College Savings,CS Alaska,17931,,40,50,
2/26/2016,College Savings,College Savings,CS John Hancock,131602,,301,317,
2/26/2016,College Savings,College Savings,CS Maryland,116179,,251,273,
2/26/2016,College Savings,College Savings,CS National,57481,,119,120,
2/26/2016,II Services and Operations,RIS,RIS,1886147,,2860,3373,
2/26/2016,II Services and Operations,RCS PHONES,RCS PHONES,309729,,564,644,
2/26/2016,II Services and Operations,SCS,BRO,270452,,382,477,
2/26/2016,II Services and Operations,SCS,PSG,569904,,800,926,
2/27/2016,WISE,WISE,WISE Contractual,0,,5,0,
2/27/2016,College Savings,College Savings,CS Alaska,0,,0,0,
2/27/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
2/27/2016,College Savings,College Savings,CS Maryland,0,,0,0,
2/27/2016,College Savings,College Savings,CS National,0,,0,0,
2/27/2016,II Services and Operations,RIS,RIS,543873,,914,1164,
2/27/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
2/27/2016,II Services and Operations,SCS,BRO,0,,0,0,
2/27/2016,II Services and Operations,SCS,PSG,0,,0,0,
2/28/2016,WISE,WISE,WISE Contractual,0,,0,0,
2/28/2016,College Savings,College Savings,CS Alaska,0,,0,0,
2/28/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
2/28/2016,College Savings,College Savings,CS Maryland,0,,0,0,
2/28/2016,College Savings,College Savings,CS National,0,,0,0,
2/28/2016,II Services and Operations,RIS,RIS,0,,0,0,
2/28/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
2/28/2016,II Services and Operations,SCS,BRO,0,,0,0,
2/28/2016,II Services and Operations,SCS,PSG,0,,0,0,
2/29/2016,WISE,WISE,WISE Contractual,4516931,,7263,8000,
2/29/2016,College Savings,College Savings,CS Alaska,31831,,51,72,
2/29/2016,College Savings,College Savings,CS John Hancock,168479,,395,477,
2/29/2016,College Savings,College Savings,CS Maryland,153722,,358,399,
2/29/2016,College Savings,College Savings,CS National,105092,,199,176,
2/29/2016,II Services and Operations,RIS,RIS,2641224,,4025,4382,
2/29/2016,II Services and Operations,RCS PHONES,RCS PHONES,375721,,713,840,
2/29/2016,II Services and Operations,SCS,BRO,323424,,500,622,
2/29/2016,II Services and Operations,SCS,PSG,807848,,1091,1421,
3/1/2016,WISE,WISE,WISE Contractual,3789988,,5854,7424,
3/1/2016,College Savings,College Savings,CS Alaska,26266,,44,55,
3/1/2016,College Savings,College Savings,CS John Hancock,194331,,364,363,
3/1/2016,College Savings,College Savings,CS Maryland,129372,,264,304,
3/1/2016,College Savings,College Savings,CS National,65560,,137,134,
3/1/2016,II Services and Operations,RIS,RIS,2284598,,3550,3772,
3/1/2016,II Services and Operations,RCS PHONES,RCS PHONES,372086,,637,700,
3/1/2016,II Services and Operations,SCS,BRO,317677,,450,550,
3/1/2016,II Services and Operations,SCS,PSG,698018,,1037,1178,
3/2/2016,WISE,WISE,WISE Contractual,3592891,,5647,6431,
3/2/2016,College Savings,College Savings,CS Alaska,39444,,54,47,
3/2/2016,College Savings,College Savings,CS John Hancock,166430,,337,315,
3/2/2016,College Savings,College Savings,CS Maryland,134933,,298,264,
3/2/2016,College Savings,College Savings,CS National,75012,,142,116,
3/2/2016,II Services and Operations,RIS,RIS,1915496,,3122,3412,
3/2/2016,II Services and Operations,RCS PHONES,RCS PHONES,328172,,597,656,
3/2/2016,II Services and Operations,SCS,BRO,384018,,499,489,
3/2/2016,II Services and Operations,SCS,PSG,683949,,949,1017,
3/3/2016,WISE,WISE,WISE Contractual,3222426,,4900,6100,
3/3/2016,College Savings,College Savings,CS Alaska,23998,,39,45,
3/3/2016,College Savings,College Savings,CS John Hancock,136928,,306,302,
3/3/2016,College Savings,College Savings,CS Maryland,113932,,233,253,
3/3/2016,College Savings,College Savings,CS National,62830,,113,111,
3/3/2016,II Services and Operations,RIS,RIS,1782558,,2867,3398,
3/3/2016,II Services and Operations,RCS PHONES,RCS PHONES,298942,,518,650,
3/3/2016,II Services and Operations,SCS,BRO,308940,,427,439,
3/3/2016,II Services and Operations,SCS,PSG,624176,,858,976,
3/4/2016,WISE,WISE,WISE Contractual,3582097,,5297,6405,
3/4/2016,College Savings,College Savings,CS Alaska,16177,,35,46,
3/4/2016,College Savings,College Savings,CS John Hancock,130704,,275,308,
3/4/2016,College Savings,College Savings,CS Maryland,136686,,286,258,
3/4/2016,College Savings,College Savings,CS National,66519,,123,113,
3/4/2016,II Services and Operations,RIS,RIS,2250168,,3210,3514,
3/4/2016,II Services and Operations,RCS PHONES,RCS PHONES,340078,,653,694,
3/4/2016,II Services and Operations,SCS,BRO,377625,,503,458,
3/4/2016,II Services and Operations,SCS,PSG,673291,,913,1003,
3/5/2016,WISE,WISE,WISE Contractual,0,,0,0,
3/5/2016,College Savings,College Savings,CS Alaska,0,,0,0,
3/5/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
3/5/2016,College Savings,College Savings,CS Maryland,0,,0,0,
3/5/2016,College Savings,College Savings,CS National,0,,0,0,
3/5/2016,II Services and Operations,RIS,RIS,484614,,920,1078,
3/5/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
3/5/2016,II Services and Operations,SCS,BRO,0,,0,0,
3/5/2016,II Services and Operations,SCS,PSG,0,,0,0,
3/6/2016,WISE,WISE,WISE Contractual,0,,0,0,
3/6/2016,College Savings,College Savings,CS Alaska,0,,0,0,
3/6/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
3/6/2016,College Savings,College Savings,CS Maryland,0,,0,0,
3/6/2016,College Savings,College Savings,CS National,0,,0,0,
3/6/2016,II Services and Operations,RIS,RIS,0,,1,0,
3/6/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
3/6/2016,II Services and Operations,SCS,BRO,0,,0,0,
3/6/2016,II Services and Operations,SCS,PSG,0,,0,0,
3/7/2016,WISE,WISE,WISE Contractual,4570980,,7242,7900,
3/7/2016,College Savings,College Savings,CS Alaska,29157,,55,56,
3/7/2016,College Savings,College Savings,CS John Hancock,159982,,376,387,
3/7/2016,College Savings,College Savings,CS Maryland,180810,,358,318,
3/7/2016,College Savings,College Savings,CS National,82878,,153,145,
3/7/2016,II Services and Operations,RIS,RIS,2770047,,4383,4119,
3/7/2016,II Services and Operations,RCS PHONES,RCS PHONES,436863,,817,746,
3/7/2016,II Services and Operations,SCS,BRO,403040,,644,596,
3/7/2016,II Services and Operations,SCS,PSG,917970,,1302,1344,
3/8/2016,WISE,WISE,WISE Contractual,3866053,,5948,6594,
3/8/2016,College Savings,College Savings,CS Alaska,34946,,55,46,
3/8/2016,College Savings,College Savings,CS John Hancock,162166,,351,321,
3/8/2016,College Savings,College Savings,CS Maryland,117891,,263,264,
3/8/2016,College Savings,College Savings,CS National,78367,,125,120,
3/8/2016,II Services and Operations,RIS,RIS,2178736,,3300,3546,
3/8/2016,II Services and Operations,RCS PHONES,RCS PHONES,408646,,659,686,
3/8/2016,II Services and Operations,SCS,BRO,322104,,488,527,
3/8/2016,II Services and Operations,SCS,PSG,740820,,973,1128,
3/9/2016,WISE,WISE,WISE Contractual,3381621,,5234,6063,
3/9/2016,College Savings,College Savings,CS Alaska,25609,,41,42,
3/9/2016,College Savings,College Savings,CS John Hancock,155057,,316,289,
3/9/2016,College Savings,College Savings,CS Maryland,108024,,221,237,
3/9/2016,College Savings,College Savings,CS National,64975,,134,108,
3/9/2016,II Services and Operations,RIS,RIS,2056727,,2992,3208,
3/9/2016,II Services and Operations,RCS PHONES,RCS PHONES,319682,,538,608,
3/9/2016,II Services and Operations,SCS,BRO,292122,,471,461,
3/9/2016,II Services and Operations,SCS,PSG,567291,,797,1067,
3/10/2016,WISE,WISE,WISE Contractual,3384421,,5156,5859,
3/10/2016,College Savings,College Savings,CS Alaska,24090,,39,40,
3/10/2016,College Savings,College Savings,CS John Hancock,125078,,290,281,
3/10/2016,College Savings,College Savings,CS Maryland,87794,,184,231,
3/10/2016,College Savings,College Savings,CS National,67039,,123,105,
3/10/2016,II Services and Operations,RIS,RIS,1914436,,2741,3195,
3/10/2016,II Services and Operations,RCS PHONES,RCS PHONES,364877,,584,617,
3/10/2016,II Services and Operations,SCS,BRO,293209,,447,419,
3/10/2016,II Services and Operations,SCS,PSG,557265,,815,954,
3/11/2016,WISE,WISE,WISE Contractual,3332939,,5182,5784,
3/11/2016,College Savings,College Savings,CS Alaska,33687,,57,40,
3/11/2016,College Savings,College Savings,CS John Hancock,124143,,276,275,
3/11/2016,College Savings,College Savings,CS Maryland,121551,,268,226,
3/11/2016,College Savings,College Savings,CS National,45624,,90,103,
3/11/2016,II Services and Operations,RIS,RIS,1979451,,2973,3303,
3/11/2016,II Services and Operations,RCS PHONES,RCS PHONES,332344,,595,575,
3/11/2016,II Services and Operations,SCS,BRO,311824,,458,431,
3/11/2016,II Services and Operations,SCS,PSG,611462,,892,1024,
3/12/2016,WISE,WISE,WISE Contractual,0,,0,0,
3/12/2016,College Savings,College Savings,CS Alaska,0,,0,0,
3/12/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
3/12/2016,College Savings,College Savings,CS Maryland,0,,0,0,
3/12/2016,College Savings,College Savings,CS National,0,,0,0,
3/12/2016,II Services and Operations,RIS,RIS,526962,,996,1014,
3/12/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
3/12/2016,II Services and Operations,SCS,BRO,0,,0,0,
3/12/2016,II Services and Operations,SCS,PSG,0,,0,0,
3/13/2016,WISE,WISE,WISE Contractual,0,,0,0,
3/13/2016,College Savings,College Savings,CS Alaska,0,,0,0,
3/13/2016,College Savings,College Savings,CS John Hancock,0,,0,0,
3/13/2016,College Savings,College Savings,CS Maryland,0,,0,0,
3/13/2016,College Savings,College Savings,CS National,0,,0,0,
3/13/2016,II Services and Operations,RIS,RIS,0,,0,0,
3/13/2016,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
3/13/2016,II Services and Operations,SCS,BRO,0,,0,0,
3/13/2016,II Services and Operations,SCS,PSG,0,,0,0,
3/14/2016,WISE,WISE,WISE Contractual,4582660,,6943,7986,
3/14/2016,College Savings,College Savings,CS Alaska,29745,,59,50,
3/14/2016,College Savings,College Savings,CS John Hancock,168483,,377,362,
3/14/2016,College Savings,College Savings,CS Maryland,181882,,368,301,
3/14/2016,College Savings,College Savings,CS National,87741,,185,140,
3/14/2016,II Services and Operations,RIS,RIS,2620356,,4215,4329,
3/14/2016,II Services and Operations,RCS PHONES,RCS PHONES,464996,,847,830,
3/14/2016,II Services and Operations,SCS,BRO,418419,,626,640,
3/14/2016,II Services and Operations,SCS,PSG,842770,,1254,1441,
3/15/2016,WISE,WISE,WISE Contractual,3739957,,5632,6422,
3/15/2016,College Savings,College Savings,CS Alaska,27685,,48,41,
3/15/2016,College Savings,College Savings,CS John Hancock,160951,,337,298,
3/15/2016,College Savings,College Savings,CS Maryland,110852,,234,248,
3/15/2016,College Savings,College Savings,CS National,73136,,139,115,
3/15/2016,II Services and Operations,RIS,RIS,2090202,,3217,3811,
3/15/2016,II Services and Operations,RCS PHONES,RCS PHONES,400924,,683,648,
3/15/2016,II Services and Operations,SCS,BRO,319067,,464,557,
3/15/2016,II Services and Operations,SCS,PSG,666242,,890,1178,
3/16/2016,WISE,WISE,WISE Contractual,3318716,,5196,6057,
3/16/2016,College Savings,College Savings,CS Alaska,23376,,41,37,
3/16/2016,College Savings,College Savings,CS John Hancock,163711,,320,267,
3/16/2016,College Savings,College Savings,CS Maryland,129933,,247,222,
3/16/2016,College Savings,College Savings,CS National,74381,,131,103,
3/16/2016,II Services and Operations,RIS,RIS,1992152,,3132,3441,
3/16/2016,II Services and Operations,RCS PHONES,RCS PHONES,339170,,587,593,
3/16/2016,II Services and Operations,SCS,BRO,332147,,460,484,
3/16/2016,II Services and Operations,SCS,PSG,651637,,843,1129,
3/17/2016,WISE,WISE,WISE Contractual,3209730,,4967,5768,
3/17/2016,College Savings,College Savings,CS Alaska,25334,,43,36,
3/17/2016,College Savings,College Savings,CS John Hancock,128157,,262,258,
